# BrightStars.csv — embedded reference catalog of the 25 brightest named stars (J2000.0 ICRS)
Sirius,alCMa,ICRS,6,45,8.92,-16,42,58.0,-546.01,-1223.14,-7.6,379.21,-1.46,A1V
Canopus,alCar,ICRS,6,23,57.11,-52,41,44.4,19.93,23.24,20.5,10.55,-0.72,F0Ib
Arcturus,alBoo,ICRS,14,15,39.67,+19,10,56.7,-1093.39,-1999.40,-5.2,88.85,-0.05,K1.5IIIFe-0.5
Vega,alLyr,ICRS,18,36,56.34,+38,47,1.3,200.94,286.23,-13.9,130.23,0.03,A0Va
Capella,alAur,ICRS,5,16,41.36,+45,59,52.8,75.52,-427.13,30.2,77.29,0.08,G3III
Rigel,beOri,ICRS,5,14,32.27,-8,12,5.9,1.31,-0.13,17.8,4.22,0.12,B8Ia
Procyon,alCMi,ICRS,7,39,18.12,+5,13,30.0,-714.59,-1036.80,-3.2,284.56,0.38,F5IV-V
Achernar,alEri,ICRS,1,37,42.85,-57,14,12.3,88.02,-40.08,16.0,22.68,0.46,B3Vpe
Betelgeuse,alOri,ICRS,5,55,10.31,+7,24,25.4,27.33,10.86,21.0,5.95,0.50,M1-2Ia-Iab
Hadar,beCen,ICRS,14,3,49.40,-60,22,22.9,-33.27,-23.16,12.0,6.21,0.61,B1III
Altair,alAql,ICRS,19,50,47.00,+8,52,6.0,536.82,385.54,-26.1,194.44,0.76,A7Vn
Acrux,alCru,ICRS,12,26,35.90,-63,5,56.7,-35.83,-14.86,-11.2,10.17,0.77,B0.5IV
Aldebaran,alTau,ICRS,4,35,55.24,+16,30,33.5,62.78,-189.36,54.3,48.94,0.87,K5+III
Spica,alVir,ICRS,13,25,11.58,-11,9,40.8,-42.35,-31.73,1.0,12.44,0.97,B1III-IV
Antares,alSco,ICRS,16,29,24.46,-26,25,55.2,-10.16,-23.21,-3.4,5.40,1.06,M1.5Iab-Ib
Pollux,beCem,ICRS,7,45,18.95,+28,1,34.3,-625.69,-45.95,3.3,96.74,1.16,K0IIIb
Fomalhaut,alPsA,ICRS,22,57,39.05,-29,37,20.1,329.22,-164.22,6.5,130.08,1.17,A3Va
Deneb,alCyg,ICRS,20,41,25.92,+45,16,49.2,1.56,1.55,-4.5,2.31,1.25,A2Ia
Mimosa,beCru,ICRS,12,47,43.27,-59,41,19.6,-48.24,-13.10,15.6,11.71,1.25,B0.5III
Regulus,alLeo,ICRS,10,8,22.31,+11,58,1.9,-248.73,5.59,5.9,42.09,1.36,B7V
Adhara,epsCMa,ICRS,6,58,37.55,-28,58,19.5,2.63,2.29,27.3,7.57,1.50,B2Iab
Shaula,lasSco,ICRS,17,33,36.52,-37,6,13.8,-8.90,-29.95,-3.0,4.64,1.62,B1.5IV+
Castor,alGem,ICRS,7,34,35.87,+31,53,17.9,-206.33,-148.18,5.7,63.27,1.58,A2Vm
Gacrux,gaCru,ICRS,12,31,9.96,-57,6,47.6,27.94,-264.33,21.4,37.09,1.59,M3.5III
Bellatrix,gaOri,ICRS,5,25,7.86,+6,20,58.9,-8.75,-13.28,18.2,12.92,1.64,B2III
